Time,Total[yd],Carry[yd],Height[m],Smash Factor,Club Speed[mph],Ball Speed[mph],Launch Angle,Launch Direction,Type,Deflection Distance
2024-08-23 07:56:00,98.0,67.0,0.8,1.23,76.5,94.0,2.0,17.0,7I,28.65
2024-08-23 07:55:00,151.0,136.0,18.0,1.33,76.0,101.0,17.0,12.0,7I,31.39
2024-08-23 07:54:00,127.0,116.0,17.0,1.35,66.9,90.3,19.0,14.0,7I,30.72
2024-08-23 07:54:00,142.0,125.0,13.0,1.4,68.9,96.3,14.0,12.0,7I,29.52
2024-08-23 07:53:00,131.0,114.0,12.0,1.4,65.0,90.9,14.0,10.0,7I,22.75
2024-08-23 07:52:00,144.0,131.0,20.0,1.51,65.2,98.7,19.0,17.0,7I,42.1
2024-08-23 07:51:00,148.0,134.0,18.0,1.4,71.3,100.0,17.0,17.0,7I,43.27
2024-08-23 07:50:00,129.0,118.0,18.0,1.35,67.7,91.4,19.0,14.0,7I,31.21
2024-08-23 07:50:00,91.0,77.0,7.4,1.21,58.8,71.1,15.0,11.0,7I,17.36
2024-08-23 07:48:00,86.0,71.0,5.8,1.16,59.3,68.8,13.0,10.0,7I,14.93
2024-08-23 07:48:00,102.0,82.0,5.3,1.47,52.9,77.9,10.0,6.3,7I,11.19
2024-08-23 07:47:00,90.0,69.0,3.3,1.2,62.2,74.4,7.9,7.1,7I,11.12
2024-08-23 07:46:00,104.0,88.0,7.6,1.27,61.2,77.8,13.0,10.0,7I,18.06
2024-08-23 07:46:00,106.0,80.0,3.0,1.34,62.9,84.4,6.0,7.7,7I,14.2
2024-08-23 07:45:00,109.0,85.0,4.1,1.31,63.7,83.6,7.5,13.0,7I,24.52
2024-08-23 07:45:00,105.0,81.0,3.7,1.46,56.3,82.4,7.1,2.8,7I,5.13
2024-08-23 07:44:00,118.0,99.0,7.4,1.35,63.5,85.5,11.0,10.0,7I,20.49
2024-08-23 07:43:00,110.0,90.0,6.0,1.3,62.7,81.8,10.0,8.6,7I,16.45
2024-08-23 07:42:00,125.0,107.0,9.5,1.42,62.3,88.5,12.0,16.0,7I,34.45
2024-08-23 07:41:00,16.0,16.0,7.5,1.05,31.5,33.1,52.0,26.0,7I,7.01
2024-08-23 07:39:00,54.0,44.0,4.5,0.84,60.4,50.8,17.0,15.0,7I,13.98
2024-08-23 07:39:00,91.0,66.0,2.1,1.34,58.3,78.1,5.5,11.0,7I,17.36
2024-08-23 07:38:00,99.0,76.0,3.3,1.43,55.6,79.5,7.0,8.4,7I,14.46
2024-08-23 07:37:00,67.0,52.0,3.2,1.2,50.2,60.0,11.0,11.0,7I,12.78
2024-08-23 07:36:00,78.0,56.0,2.0,1.36,51.1,69.7,6.6,8.9,7I,12.07
2024-08-23 07:35:00,104.0,84.0,5.3,1.4,56.8,79.3,10.0,11.0,7I,19.84
2024-08-23 07:35:00,63.0,39.0,0.7,1.16,60.3,69.7,3.3,14.0,7I,15.24
2024-08-23 07:34:00,56.0,42.0,2.4,0.9,60.0,54.2,11.0,13.0,7I,12.6
2024-08-23 07:34:00,68.0,52.0,2.9,1.1,55.6,61.2,10.0,14.0,7I,16.45
2024-08-23 07:32:00,112.0,91.0,6.2,1.42,58.1,82.6,10.0,0.8,7I,1.56
2024-08-23 07:32:00,127.0,105.0,7.0,1.42,63.3,90.2,10.0,4.7,7I,10.41
2024-08-23 07:31:00,44.0,31.0,1.8,1.07,43.4,46.5,11.0,5.8,7I,4.45
2024-08-23 07:31:00,69.0,53.0,3.2,1.36,44.9,61.1,11.0,4.7,7I,5.65
2024-08-23 07:31:00,77.0,60.0,3.7,1.44,45.4,65.4,10.0,4.1,7I,5.51
2024-08-23 07:30:00,33.0,27.0,2.8,0.81,46.6,37.8,20.0,7.7,7I,4.42
2024-08-23 07:30:00,95.0,75.0,4.2,1.52,49.4,75.2,9.2,5.2,7I,8.61
2024-08-23 07:29:00,101.0,81.0,4.9,1.4,55.6,77.9,10.0,7.5,7I,13.18
2024-08-23 07:29:00,42.0,22.0,0.3,1.26,46.8,58.8,2.7,5.4,7I,3.95
2024-08-23 07:28:00,91.0,73.0,4.8,1.41,51.3,72.3,11.0,5.8,7I,9.2
2024-08-23 07:28:00,93.0,77.0,6.5,1.35,53.7,72.2,13.0,8.4,7I,13.59
2024-08-23 07:26:00,36.0,14.0,0.1,0.9,70.8,63.9,1.1,6.5,7I,4.08
2024-08-23 07:25:00,105.0,85.0,5.5,1.27,62.6,79.3,10.0,9.0,7I,16.43
2024-08-23 07:25:00,85.0,67.0,4.1,1.22,57.3,69.8,10.0,6.3,7I,9.33
2024-08-23 07:24:00,14.0,10.0,0.8,0.34,68.5,23.3,18.0,-4.2,7I,-1.03
2024-08-23 07:24:00,50.0,39.0,2.9,0.8,61.7,49.4,14.0,6.8,7I,5.92
2024-08-23 07:19:00,5.9,5.5,0.8,0.25,64.4,15.8,29.0,1.0,7I,0.1
2024-08-23 07:18:00,90.0,70.0,3.7,1.4,52.3,73.4,8.7,-0.1,7I,-0.16
2024-08-23 07:18:00,78.0,62.0,4.3,1.31,49.5,65.0,12.0,7.5,7I,10.18
2024-08-23 07:17:00,83.0,63.0,3.1,1.27,54.8,69.9,8.5,13.0,7I,18.67
2024-08-23 07:16:00,106.0,84.0,4.5,1.43,57.2,81.6,8.4,4.3,7I,7.95
2024-08-23 07:16:00,115.0,95.0,7.1,1.33,63.1,83.9,11.0,8.8,7I,17.59
2024-08-23 07:15:00,115.0,98.0,8.3,1.48,56.6,83.6,12.0,2.3,7I,4.62
2024-08-23 07:13:00,94.0,73.0,4.1,1.48,50.5,74.6,9.1,0.1,7I,0.16
2024-08-23 07:12:00,34.0,24.0,1.3,0.98,41.9,40.8,11.0,5.7,7I,3.38
2024-08-23 07:11:00,86.0,69.0,4.7,1.47,47.2,69.5,11.0,2.7,7I,4.05
2024-08-23 07:11:00,65.0,48.0,2.4,1.42,42.4,60.3,9.2,0.9,7I,1.02
2024-08-23 07:08:00,90.0,73.0,5.0,1.2,59.8,71.5,11.0,10.0,7I,15.63
2024-08-23 07:08:00,96.0,74.0,3.7,1.23,62.6,76.8,8.1,8.1,7I,13.53
2024-08-23 07:07:00,105.0,86.0,6.1,1.33,59.3,78.9,11.0,9.3,7I,16.97
2024-08-23 07:05:00,4.3,4.3,0.8,0.25,53.6,13.7,35.0,5.8,7I,0.43
2024-08-23 07:04:00,94.0,74.0,4.2,1.48,50.8,75.0,9.2,11.0,7I,17.94
2024-08-23 07:04:00,106.0,84.0,4.8,1.43,56.8,80.9,8.9,6.0,7I,11.08
2024-08-23 07:03:00,74.0,48.0,0.8,1.25,61.6,76.9,3.0,6.9,7I,8.89
2024-08-23 07:03:00,40.0,34.0,4.2,0.83,51.2,42.4,22.0,6.7,7I,4.67
2024-08-23 07:03:00,28.0,13.0,0.2,0.88,53.6,47.4,2.9,2.1,7I,1.03
2024-08-23 07:02:00,59.0,44.0,2.4,0.83,67.2,56.0,10.0,13.0,7I,13.27
2024-08-23 07:02:00,17.0,9.5,0.3,0.47,62.1,29.1,8.5,10.0,7I,2.95
2024-08-23 07:01:00,34.0,27.0,2.9,0.82,46.5,38.3,20.0,5.0,7I,2.96
2024-08-23 07:01:00,66.0,42.0,0.9,1.22,56.6,69.3,4.0,5.8,7I,6.67
2024-08-23 07:00:00,70.0,53.0,3.1,1.2,51.1,61.6,10.0,9.4,7I,11.43
2024-08-23 06:59:00,53.0,31.0,0.5,1.28,50.6,64.8,3.1,1.9,7I,1.76
2024-08-23 06:58:00,71.0,50.0,1.6,1.2,56.3,67.4,6.0,9.1,7I,11.23
2024-08-23 06:58:00,38.0,26.0,1.3,0.74,58.7,43.5,10.0,0.2,7I,0.13
2024-08-23 06:57:00,88.0,70.0,4.8,1.46,48.1,70.3,11.0,3.7,7I,5.68
2024-08-23 06:57:00,60.0,49.0,4.8,0.77,70.1,54.0,17.0,10.0,7I,10.42
2024-08-23 06:55:00,88.0,67.0,3.1,1.1,66.5,73.4,7.7,5.3,7I,8.13
2024-08-23 06:55:00,98.0,80.0,5.4,1.19,63.7,76.0,11.0,5.8,7I,9.9
2024-08-23 06:52:00,4.5,4.4,0.7,0.21,68.1,14.0,32.0,-15.0,7I,-1.16
2024-08-23 06:48:00,120.0,105.0,11.0,1.24,69.1,85.7,15.0,16.0,7I,33.08
2024-08-23 06:48:00,112.0,94.0,7.8,1.35,60.7,81.9,12.0,15.0,7I,28.99
2024-08-23 06:47:00,72.0,51.0,1.7,1.03,65.9,68.0,6.0,12.0,7I,14.97
2024-08-23 06:46:00,86.0,72.0,7.0,1.04,65.8,68.3,15.0,12.0,7I,17.88
2024-08-23 06:46:00,7.2,6.7,1.0,0.27,64.7,17.4,30.0,18.0,7I,2.22
2024-08-23 06:45:00,49.0,39.0,3.4,0.72,66.7,47.7,16.0,9.2,7I,7.83
2024-08-23 06:45:00,95.0,76.0,4.9,1.3,57.3,74.2,10.0,13.0,7I,21.37
2024-08-23 06:44:00,73.0,54.0,2.3,1.0,65.3,65.6,7.9,8.0,7I,10.16
2024-08-23 06:41:00,47.0,34.0,1.8,0.79,62.3,49.3,10.0,7.2,7I,5.89
2024-08-23 06:41:00,106.0,87.0,6.4,1.32,60.1,79.3,11.0,14.0,7I,25.64
2024-08-23 06:40:00,25.0,17.0,1.0,0.55,60.2,33.2,13.0,15.0,7I,6.47
2024-08-23 06:39:00,110.0,93.0,8.1,1.33,60.4,80.7,13.0,12.0,7I,22.87
2024-08-23 06:38:00,58.0,47.0,4.3,0.87,61.1,53.0,16.0,8.7,7I,8.77
2024-08-23 06:37:00,65.0,52.0,4.3,1.0,57.4,57.4,14.0,14.0,7I,15.72
2024-08-23 06:37:00,87.0,68.0,4.1,1.47,48.0,70.6,10.0,12.0,7I,18.09
